,第一次对,第一次错,第一次对第二次对,第一次对第二次错,第一次错第二次对,第一次错第二次错
MSE,0.0002810641131691311,0.00468233815591191,0.0005553358232658901,0.011920309362936775,0.0052003708743098695,0.010302455084405124
RMSE,0.01676496684068093,0.06842761252529501,0.02356556435279856,0.10918016927508757,0.07211359701408514,0.1015010102629778
MAE,0.014679108682110814,0.06311108537806177,0.021234275219423417,0.1056515568489847,0.06788614096944144,0.06685544084310331
MAPE,0.015696899349113145,0.09019576321885353,0.021917540925037893,0.12463041540933456,0.07595412557457693,0.0872182138939091
SMAPE,1.5698773813993188,8.93597160503245,2.1952254228486487,12.356992166249919,7.547734911329716,8.944060390045717
R2,0.2348350484902746,0.5526165417928659,-2.928546294356238e-11,-2.3514523661560816e-13,1.1102230246251565e-16,0.0
MSLE,7.490995456352941e-05,0.001588941303817277,0.0001432571456341289,0.0034452463449587967,0.0014392672460467432,0.003168848348051813
MedAE,0.014903722322789026,0.06198389099436896,0.020699965029680745,0.10469237786399144,0.0717273295840154,0.03524921129491554
EVS,0.2348350488031541,0.5526223127738448,-2.9285240898957454e-11,-2.3514523661560816e-13,-2.220446049250313e-16,0.0
MaxErr,0.02940392306502937,0.10854644582693973,0.03462153365970022,0.14530762213611204,0.09839399625068201,0.28705848101277676
MPD,0.00030012111749212376,0.006549058073995104,0.0005738727853115335,0.013895188609179154,0.005772242755977955,0.013366148863581794
MGD,0.0003205124158460748,0.00926381302128234,0.0005931191079199361,0.01624835534531305,0.006416279023083908,0.017501947805612064
MTD,0.0002810641131691311,0.00468233815591191,0.0005553358232658901,0.011920309362936775,0.0052003708743098695,0.010302455084405124
